participant_id,full_name,email,state,age,gender,education_level,program,start_date,end_date,status,attendance_pct,final_score,employed_before,employed_after,income_before,income_after,satisfaction_score
P0165,Participant 165,participant165@yahoo.com,Cd. México,25,Female,Secundaria,Excel for Business,2025-08-06,2025-08-29,Completed,82.4,62.8,Yes,Sí,3428.76,4442.9,3
P0166,Participant 166,participant166@outlook.com,Chiapas,14,Hombre,Secundaria,Excel for Business,2025-02-14,2025-05-27,Dropped,87.7,82.6,yes,No,4562.01,5190.12,1
P0167,Participant 167,participant167@example.org,Oaxaca,33,Female,Preparatoria,Digital Marketing,21/02/2025,2025-05-26,,59.7,79.2,,,6665.9,N/A,
P0168,Participant 168,participant168.com,Oaxaca,24,Female,,Python Basics,2025-01-03,2025-04-26,In progress,86.2,80.2,No,No,6204.34,10227.35,5
P0169,Participant 169,participant169@gmail.com,Yucatán,18,,Universidad,Digital Marketing,2025-03-17,2025-04-16,Completed,85.3,101.4,no,yes,2753.24,-709.74,1
P0170,Participant 170,,Nuevo León,23,No especificado,Preparatoria,Digital Marketing,2025-04-04,2025-06-27,,87.6,91.1,yes,Sí,8124.96,8752.95,1
P0171,Participant 171,participant171@gmail.com,Jalisco,27,M,Preparatoria,Excel for Business,2025-06-04,2025-09-24,Dropped,85.5,75.4,,yes,8674.2,9982.78,5
P0172,Participant 172,,Oaxaca,16,Hombre,,Python Basics,2025-04-23,2025-08-11,Dropped,91.4,,Sí,,2139.71,453.84,4
P0173,Participant 173,participant173@example.org,Ciudad de México,31,Female,Licenciatura,Digital Marketing,2025-05-19,2025-08-02,,43.5,87.8,Yes,Yes,7143.81,9138.37,2
P0174,Participant 174,participant174@example.org,Jalisco,18,,,Digital Marketing,2025-08-09,2025-09-05,completed,92.0,78.5,Sí,No,5181.13,9101.21,3
P0175,Participant 175,participant175@yahoo.com,Yucatán,8,Mujer,Posgrado,Excel for Business,2025-06-30,2025-09-19,,81.6,96.8,No,no,2822.37,,1
P0176,Participant 176,participant176gmail.com,Ciudad de México,25,No especificado,Preparatoria,Employability Skills,2025-06-18,2025-09-14,COMPLETED,62.4,-5.0,no,yes,4015.51,3477.15,5
P0177,Participant 177,participant177@gmail.com,Chiapas,20,,Posgrado,Data Analytics,2025-02-01,2025-04-20,,91.2,65.5,No,Sí,4339.45,4903.16,3
P0178,Participant 178,participant178@example.org,CDMX,17,Mujer,Universidad,Employability Skills,2025-03-22,2025-07-07,completed,37.7,78.5,yes,Sí,9141.77,10903.04,5
P0179,Participant 179,participant179@outlook.com,Cd. México,22,,Licenciatura,Data Analytics,2025-02-18,2025-05-24,Abandoned,82.0,79.5,Yes,Sí,5330.31,7685.58,
P0180,Participant 180,participant180@yahoo.com,Ciudad de México,17,Mujer,Licenciatura,Digital Marketing,11/06/2025,2025-08-30,Completed,101.2,41.4,Yes,yes,4502.12,6241.85,5
P0181,Participant 181,participant181@yahoo.com,CDMX,25,M,Universidad,Employability Skills,2025-06-21,2025-08-02,Abandoned,111.2,79.8,,,629.13,2586.11,3
P0182,Participant 182,participant182@,Cd. México,22,No especificado,Preparatoria,Excel for Business,2025-02-22,2025-05-27,Completed,85.7,79.8,yes,No,3843.04,"$7,200",1
P0183,Participant 183,participant183@outlook.com,Nuevo León,30,No especificado,,Employability Skills,2025-08-03,2025-09-05,COMPLETED,74.7,73.9,No,Sí,4916.58,6413.12,3
P0184,Participant 184,participant184@yahoo.com,Chiapas,23,Female,Secundaria,Excel for Business,2025-07-31,2025-09-29,COMPLETED,85.6,110.0,No,Sí,6470.43,7740.14,
P0185,Participant 185,,CDMX,26,Female,Universidad,Digital Marketing,2025-08-15,08/11/2025,,122.2,104.5,,,6723.14,7713.21,4
P0186,Participant 186,,Puebla,19,No especificado,Universidad,Excel for Business,2025-01-10,2025-03-23,completed,99.4,94.2,no,yes,8044.15,9732.84,3
P0187,Participant 187,participant187@example.org,Ciudad de México,26,Mujer,,Python Basics,2025-04-16,2025-06-06,Dropped,54.1,79.2,Yes,Yes,5391.31,7621.01,1
P0188,Participant 188,participant188@gmail.com,CDMX,16,Male,Universidad,Excel for Business,2025-04-02,2025-05-08,COMPLETED,62.4,80.3,no,,4408.09,,
P0189,Participant 189,participant189@yahoo.com,EdoMex,27,Hombre,Preparatoria,Data Analytics,2025-05-07,2025-06-14,,57.7,70.3,Yes,yes,806.39,-1087.36,
P0190,Participant 190,participant190@example.org,Cd. México,31,M,,Python Basics,2025-07-07,2025-08-23,In progress,47.8,83.1,No,No,2059.89,2648.61,5
P0191,Participant 191,participant191@yahoo.com,Ciudad de México,21,No especificado,Secundaria,Digital Marketing,2025-07-05,2025-09-19,Completed,102.5,82.0,yes,Sí,8680.15,9166.57,4
P0192,Participant 192,participant192@yahoo.com,Chiapas,32,No especificado,,Digital Marketing,2025-07-18,2025-10-12,Dropped,-10.0,69.9,No,No,5606.21,4999.21,1
P0193,Participant 193,,CDMX,17,Hombre,Bachillerato,Python Basics,2025-02-05,2025-04-14,,57.9,56.3,no,,6832.08,6829.55,
P0194,Participant 194,participant194@yahoo.com,Ciudad de México,30,No especificado,Preparatoria,Excel for Business,2025-02-26,2025-06-11,,97.2,56.3,No,Sí,7804.5,9873.34,5
P0195,Participant 195,participant195@example.org,Oaxaca,19,Female,,Employability Skills,2025-06-09,2025-08-09,Abandoned,104.6,89.4,no,No,6526.83,8400.53,2
P0196,Participant 196,participant196@yahoo.com,Cd. México,12,Female,Preparatoria,Python Basics,2025-04-17,2025-05-15,In progress,73.4,77.9,,No,3333.19,2326.81,
P0197,Participant 197,participant197@yahoo.com,Jalisco,30,M,Licenciatura,Data Analytics,2025-05-08,2025-08-23,COMPLETED,97.0,94.2,,,4896.92,6550.23,3
P0198,Participant 198,participant198@outlook.com,Chiapas,18,M,Preparatoria,Excel for Business,2025-06-09,24/07/2025,,78.7,-5.0,Yes,yes,5385.75,5208.76,4
P0199,Participant 199,,Chiapas,31,,Posgrado,Employability Skills,2025-06-30,2025-09-03,COMPLETED,80.4,57.0,No,Sí,5032.83,6833.54,4
P0200,Participant 200,participant200@gmail.com,Puebla,22,,Universidad,Employability Skills,2025-07-11,2025-10-31,Completed,93.3,55.0,Yes,Yes,5015.13,5021.18,3
P0201,Participant 201,participant201@yahoo.com,Puebla,16,,Secundaria,Data Analytics,02/03/2025,2025-06-08,Abandoned,51.5,103.1,yes,,"$5,000",5616.76,
P0202,Participant 202,participant202@yahoo.com,Ciudad de México,36,Female,,Digital Marketing,2025-05-07,2025-08-26,Completed,39.0,85.7,yes,Sí,7171.62,6719.2,4
P0203,Participant 203,participant203@outlook.com,Jalisco,16,,Bachillerato,Data Analytics,2025-08-25,2025-11-11,,113.8,101.1,Sí,Sí,6140.64,5891.54,1
P0204,Participant 204,participant204@yahoo.com,Ciudad de México,33,,Bachillerato,Data Analytics,2025-07-14,2025-09-09,In progress,115.4,99.1,,No,5295.82,7473.9,
P0205,Participant 205,participant205@example.org,Puebla,23,,Bachillerato,Employability Skills,2025-05-16,2025-06-05,Abandoned,101.2,89.4,,No,6820.98,9219.03,3
P0206,Participant 206,participant206@example.org,Nuevo León,28,Hombre,Secundaria,Employability Skills,2025-03-18,2025-04-24,completed,86.0,95.3,Yes,,5669.98,4293.78,3
P0207,Participant 207,participant207@example.org,EdoMex,28,Mujer,Bachillerato,Employability Skills,04/02/2025,2025-05-20,completed,89.0,-5.0,yes,Sí,4889.8,6690.75,5
P0208,Participant 208,participant208@outlook.com,Jalisco,32,Mujer,,Excel for Business,2025-03-15,2025-06-03,completed,97.3,106.2,No,yes,5862.22,7105.25,3
P0209,Participant 209,participant209@example.org,Yucatán,26,Hombre,Bachillerato,Python Basics,2025-08-03,2025-11-05,completed,40.2,89.5,yes,,7713.08,12430.56,
P0210,Participant 210,participant210@example.org,Oaxaca,20,Hombre,Secundaria,Employability Skills,2025-04-03,07/06/2025,Dropped,54.4,92.4,no,Yes,6907.2,6523.53,2
P0211,Participant 211,participant211@outlook.com,Jalisco,33,,Licenciatura,Excel for Business,2025-01-26,2025-04-30,COMPLETED,93.4,82.5,No,Sí,6895.35,8529.73,2
P0212,Participant 212,participant212@yahoo.com,Ciudad de México,15,,Secundaria,Employability Skills,2025-06-25,2025-08-10,COMPLETED,63.5,80.2,,No,2673.46,4994.34,5
P0213,Participant 213,participant213@example.org,Cd. México,25,M,Bachillerato,Python Basics,03/02/2025,2025-03-14,COMPLETED,92.8,75.8,Yes,Yes,5008.83,5838.28,
P0214,Participant 214,participant214@example.org,CDMX,19,No especificado,Posgrado,Excel for Business,2025-02-25,2025-05-15,,84.0,82.2,no,,4471.53,4800.24,5
P0215,Participant 215,participant215@yahoo.com,Puebla,29,Male,Licenciatura,Employability Skills,2025-08-22,2025-11-06,,105.0,73.5,no,,8020.0,9429.59,
P0216,Participant 216,participant216@yahoo.com,Yucatán,23,,,Employability Skills,2025-08-01,2025-11-10,,89.3,57.5,No,,9292.03,N/A,5
P0217,Participant 217,,Nuevo León,30,M,Licenciatura,Python Basics,2025-01-14,2025-05-08,COMPLETED,101.2,86.5,,No,3728.04,5005.32,
P0218,Participant 218,participant218@yahoo.com,CDMX,32,,Posgrado,Python Basics,2025-06-15,2025-09-14,completed,65.9,77.2,yes,no,0,742.12,
P0219,Participant 219,participant219@gmail.com,EdoMex,22,Female,Bachillerato,Employability Skills,2025-03-22,2025-06-03,,91.3,111.8,no,Sí,11167.95,14796.74,5
P0220,Participant 220,participant220@outlook.com,Nuevo León,33,Female,Licenciatura,Digital Marketing,2025-01-30,2025-03-03,Abandoned,80.6,88.9,Sí,,7661.32,11595.32,1
P0221,Participant 221,participant221@example.org,CDMX,20,No especificado,Posgrado,Excel for Business,01/01/2025,2025-03-05,,58.0,82.3,,,7716.83,9018.24,1
P0222,Participant 222,participant222@yahoo.com,Estado de México,20,F,Posgrado,Data Analytics,2025-06-20,2025-10-12,Abandoned,67.7,86.0,No,no,8553.09,8876.21,
P0223,Participant 223,participant223@,Cd. México,28,F,Universidad,Digital Marketing,2025-05-27,2025-08-10,COMPLETED,80.0,100.4,yes,,5844.61,7954.34,
P0224,Participant 224,participant224@example.org,Puebla,25,F,Preparatoria,Data Analytics,2025-07-05,2025-10-31,Dropped,62.0,93.5,no,No,7978.15,11047.23,2
P0225,Participant 225,participant225@outlook.com,Oaxaca,25,,,Data Analytics,2025-03-08,2025-04-20,Dropped,78.5,76.3,,no,4423.53,4039.13,2
P0226,Participant 226,participant226@yahoo.com,Ciudad de México,16,F,Licenciatura,Digital Marketing,2025-03-25,2025-04-25,,93.6,84.0,,Yes,3127.71,7472.96,1
P0227,Participant 227,participant227@gmail.com,Puebla,19,,Secundaria,Python Basics,2025-06-29,2025-10-05,In progress,67.0,96.7,No,Sí,4852.86,2775.77,
P0228,Participant 228,participant228@outlook.com,EdoMex,25,No especificado,Secundaria,Python Basics,2025-05-18,03/09/2025,Abandoned,73.0,90.6,No,Sí,6160.05,9650.29,2
P0229,Participant 229,participant229@example.org,Cd. México,22,Female,Posgrado,Data Analytics,2025-04-18,2025-07-22,Completed,81.0,84.1,yes,,3409.28,5863.4,4
P0230,Participant 230,participant230@example.org,Jalisco,29,Mujer,Secundaria,Employability Skills,2025-05-09,2025-07-22,completed,69.7,110.0,No,Sí,4063.63,"$7,200",3
P0231,Participant 231,participant231@outlook.com,Yucatán,26,Female,Posgrado,Excel for Business,2025-06-12,2025-07-15,Completed,63.6,76.1,No,No,6550.29,8259.31,3
P0232,Participant 232,participant232@,Yucatán,22,,,Excel for Business,2025-01-20,2025-02-14,COMPLETED,44.3,77.3,No,No,,11063.09,1
P0233,Participant 233,participant233@example.org,CDMX,34,Mujer,Licenciatura,Data Analytics,2025-06-25,2025-08-27,In progress,87.0,85.2,no,yes,3232.48,4042.87,1
P0234,Participant 234,participant234@yahoo.com,EdoMex,20,,,Python Basics,08/08/2025,2025-09-12,,72.8,72.6,No,Sí,5086.18,5063.29,3
P0235,Participant 235,participant235@gmail.com,Yucatán,24,Male,Universidad,Employability Skills,2025-05-26,2025-08-22,Completed,96.3,86.2,yes,,4860.17,8526.91,
P0236,Participant 236,participant236.com,EdoMex,32,Female,Posgrado,Digital Marketing,2025-04-30,21/07/2025,,82.6,77.5,,,1195.07,3047.24,
P0237,Participant 237,participant237@example.org,Jalisco,23,M,,Digital Marketing,2025-03-01,2025-06-04,Abandoned,85.6,94.5,no,No,6958.86,,
P0238,Participant 238,participant238@yahoo.com,Ciudad de México,29,No especificado,Preparatoria,Digital Marketing,2025-01-25,28/04/2025,COMPLETED,86.0,68.2,,,2595.54,3285.89,5
P0239,Participant 239,participant239@yahoo.com,Ciudad de México,30,Female,Posgrado,Employability Skills,2025-01-06,2025-03-23,Dropped,107.8,87.9,No,No,,2368.09,4
P0240,Participant 240,participant240@example.org,Cd. México,31,,Posgrado,Digital Marketing,2025-08-20,2025-09-20,Completed,84.2,81.1,yes,,6683.68,7401.93,
P0241,Participant 241,participant241@yahoo.com,Chiapas,17,No especificado,Universidad,Data Analytics,2025-05-23,2025-09-19,completed,62.6,64.7,No,No,7643.33,10358.04,
P0242,Participant 242,participant242@example.org,Jalisco,26,,Bachillerato,Data Analytics,2025-01-30,2025-04-04,COMPLETED,87.5,78.9,,no,3025.97,3786.94,
P0243,Participant 243,participant243gmail.com,Cd. México,16,Female,Licenciatura,Employability Skills,16/03/2025,11/05/2025,Abandoned,58.3,92.3,no,Yes,,5834.0,4
P0244,Participant 244,participant244@gmail.com,Chiapas,-3,M,,Employability Skills,2025-02-01,2025-04-27,Abandoned,82.4,46.6,,,5608.82,9703.77,4
P0245,Participant 245,participant245@outlook.com,Oaxaca,24,Hombre,,Employability Skills,2025-07-22,2025-11-10,Dropped,-10.0,62.0,Sí,no,4170.85,6370.91,2
P0246,Participant 246,participant246@gmail.com,Cd. México,38,,,Python Basics,2025-02-11,2025-04-11,completed,83.1,112.0,No,yes,"$5,000",3565.17,3
P0247,Participant 247,participant247@example.org,Estado de México,28,Mujer,,Excel for Business,2025-01-10,2025-05-05,completed,55.3,74.1,,No,6355.88,,2
P0248,Participant 248,participant248@gmail.com,Puebla,34,M,,Data Analytics,2025-04-13,2025-05-26,Abandoned,99.5,93.0,Yes,No,8639.93,9085.44,
P0249,Participant 249,participant249.com,Ciudad de México,25,,Universidad,Employability Skills,2025-05-31,23/09/2025,COMPLETED,72.1,92.6,,Yes,7254.69,10027.28,
P0250,Participant 250,participant250@yahoo.com,Oaxaca,21,Male,Preparatoria,Excel for Business,2025-02-13,2025-06-10,COMPLETED,105.0,69.4,Yes,Sí,6005.72,6771.56,2
P0143,Participant 143,participant143@yahoo.com,Yucatán,95,,Bachillerato,Data Analytics,2025-02-07,2025-03-26,,80.0,80.5,No,Sí,795.38,2283.12,3
P0007,Participant 7,participant7@gmail.com,Oaxaca,29,Mujer,Posgrado,Python Basics,2025-05-31,2025-07-04,In progress,92.3,122.5,No,no,3199.02,1845.27,
P0098,Participant 98,participant98@outlook.com,Nuevo León,19,Male,Universidad,Python Basics,2025-01-08,2025-02-18,Abandoned,84.0,92.0,yes,No,7237.49,11941.27,4
P0061,Participant 61,participant61@example.org,CDMX,26,,Licenciatura,Employability Skills,28/06/2025,2025-10-19,,59.1,69.4,,No,1048.61,"$7,200",1
P0113,Participant 113,participant113@outlook.com,Nuevo León,19,Female,Licenciatura,Excel for Business,2025-06-14,2025-09-02,Dropped,94.4,85.9,No,,3794.17,2841.19,
P0182,Participant 182,participant182@,Cd. México,22,No especificado,Preparatoria,Excel for Business,2025-02-22,2025-05-27,Completed,85.7,79.8,yes,No,3843.04,"$7,200",1
P0198,Participant 198,participant198@outlook.com,Chiapas,18,M,Preparatoria,Excel for Business,2025-06-09,24/07/2025,,78.7,-5.0,Yes,yes,5385.75,5208.76,4
P0185,Participant 185,,CDMX,26,Female,Universidad,Digital Marketing,2025-08-15,08/11/2025,,122.2,104.5,,,6723.14,7713.21,4
P0010,Participant 10,participant10@yahoo.com,Yucatán,26,Female,Bachillerato,Python Basics,2025-06-09,2025-09-06,In progress,105.0,70.1,No,no,5019.1,6761.89,2
P0105,Participant 105,participant105@example.org,Jalisco,29,M,Secundaria,Employability Skills,2025-05-10,30/07/2025,,51.3,65.6,no,No,4938.09,,1
P0149,Participant 149,,CDMX,17,Hombre,Bachillerato,Data Analytics,26/03/2025,2025-04-22,Dropped,82.3,51.6,no,No,4784.99,7966.72,3
P0097,Participant 97,,Yucatán,15,,,Data Analytics,18/02/2025,2025-05-08,completed,43.6,85.6,,Sí,4164.63,3383.23,3
P0178,Participant 178,,CDMX,17,Mujer,Universidad,Employability Skills,2025-03-22,2025-07-07,completed,37.7,78.5,yes,Sí,9141.77,10903.04,5
P0226,Participant 226,,Ciudad de México,16,F,Licenciatura,Digital Marketing,2025-03-25,2025-04-25,,93.6,84.0,,Yes,3127.71,7472.96,1
P0237,Participant 237,,Jalisco,23,M,,Digital Marketing,2025-03-01,2025-06-04,Abandoned,85.6,94.5,no,No,6958.86,,
