participant_id,full_name,email,email_valid,state,age,gender,education_level,program,start_date,end_date,program_duration_days,status,attendance_pct,final_score,employed_before,employed_after,employment_change,income_before,income_after,income_change,satisfaction_score
P0127,Participant 127,participant127@yahoo.com,True,Oaxaca,22.0,Female,Not specified,Digital Marketing,2025-06-13,2025-09-25,104.0,Unknown,,76.9,Yes,Yes,Remained employed,8371.11,9775.0,1403.8899999999994,2.0
P0128,Participant 128,participant128@example.org,True,Oaxaca,,Male,Not specified,Excel for Business,2025-08-08,2025-08-28,20.0,Completed,28.3,94.8,Unknown,Yes,Unknown,7472.25,8182.81,710.5600000000004,
P0129,Participant 129,participant129@gmail.com,True,Estado de México,20.0,Not specified,Graduate,Python Basics,2025-08-11,2025-10-28,78.0,Dropped,95.0,71.7,Yes,Unknown,Unknown,8355.96,10217.5,1861.5400000000009,
P0130,Participant 130,participant130@gmail.com,True,Estado de México,20.0,Female,Not specified,Excel for Business,2025-06-21,2025-07-21,30.0,Unknown,88.4,85.9,Yes,No,Lost employment,6177.44,7924.99,1747.5500000000002,5.0
P0131,Participant 131,participant131@example.org,True,Jalisco,28.0,Male,Not specified,Digital Marketing,2025-03-16,2025-05-31,76.0,Dropped,67.8,76.5,Yes,Yes,Remained employed,4745.29,7488.06,2742.7700000000004,
P0132,Participant 132,participant132@outlook.com,True,Chiapas,22.0,Not specified,Undergraduate,Digital Marketing,2025-03-28,2025-06-18,82.0,Completed,,90.0,No,No,Remained unemployed,3192.17,5299.04,2106.87,3.0
P0133,Participant 133,participant133@example.org,True,Nuevo León,20.0,Male,Not specified,Data Analytics,2025-04-08,2025-06-12,65.0,Completed,74.5,86.1,Yes,Yes,Remained employed,,8796.83,,5.0
P0134,Participant 134,participant134@yahoo.com,True,Ciudad de México,26.0,Not specified,High school,Python Basics,2025-07-20,2025-09-05,47.0,Unknown,68.4,80.9,Unknown,No,Unknown,4411.94,6963.0,2551.0600000000004,1.0
P0135,Participant 135,,False,Nuevo León,29.0,Male,High school,Digital Marketing,2025-07-06,2025-11-10,127.0,Dropped,68.5,86.1,Unknown,Yes,Unknown,3885.57,1692.21,-2193.36,3.0
P0136,Participant 136,participant136@gmail.com,True,Jalisco,22.0,Not specified,Not specified,Employability Skills,2025-03-05,2025-05-13,69.0,Unknown,95.1,,Unknown,Unknown,Unknown,,7366.96,,
P0137,Participant 137,,False,Ciudad de México,23.0,Female,Undergraduate,Employability Skills,2025-04-02,2025-05-19,47.0,In progress,50.6,68.6,No,Yes,Entered employment,5225.16,9003.07,3777.91,
P0138,Participant 138,participant138@gmail.com,True,Nuevo León,22.0,Female,High school,Digital Marketing,2025-04-16,2025-07-09,84.0,Completed,74.3,61.0,No,No,Remained unemployed,5765.45,6120.26,354.8100000000004,
P0139,Participant 139,participant139@gmail.com,True,Ciudad de México,,Male,Secondary,Employability Skills,2025-07-11,2025-09-30,81.0,Dropped,51.9,,Unknown,Yes,Unknown,5802.79,6129.85,327.0600000000004,3.0
P0140,Participant 140,participant140@example.org,True,Ciudad de México,28.0,Male,Not specified,Python Basics,2025-06-17,2025-07-25,38.0,Completed,93.3,75.1,Unknown,Yes,Unknown,5339.82,5477.32,137.5,2.0
P0141,Participant 141,participant141@outlook.com,True,Ciudad de México,,Not specified,Undergraduate,Digital Marketing,2025-05-07,2025-07-01,55.0,Completed,94.1,76.2,Unknown,Yes,Unknown,5866.98,9968.98,4102.0,2.0
P0142,Participant 142,participant142@example.org,True,Yucatán,29.0,Female,Not specified,Employability Skills,2025-05-01,2025-06-28,58.0,Completed,87.2,80.0,No,Yes,Entered employment,5253.53,6487.46,1233.9300000000003,
P0143,Participant 143,participant143@yahoo.com,True,Yucatán,,Not specified,High school,Data Analytics,2025-02-07,2025-03-26,47.0,Unknown,80.0,80.5,No,Yes,Entered employment,795.38,2283.12,1487.7399999999998,3.0
P0144,Participant 144,participant144@yahoo.com,True,Yucatán,17.0,Not specified,Undergraduate,Digital Marketing,2025-03-16,2025-05-22,67.0,Dropped,98.1,83.6,Unknown,Yes,Unknown,10977.06,9695.71,-1281.3500000000004,2.0
P0145,Participant 145,participant145@example.org,True,Ciudad de México,27.0,Male,Not specified,Python Basics,2025-08-27,2025-12-19,114.0,Dropped,34.9,77.1,Unknown,No,Unknown,5823.53,,,5.0
P0146,Participant 146,participant146@yahoo.com,True,Estado de México,,Female,Not specified,Employability Skills,2025-04-17,2025-07-09,83.0,Completed,100.0,83.3,Unknown,No,Unknown,2713.13,4088.95,1375.8199999999997,5.0
P0147,Participant 147,participant147@gmail.com,True,Chiapas,23.0,Not specified,Undergraduate,Excel for Business,2025-05-06,2025-06-11,36.0,Dropped,56.8,65.2,No,No,Remained unemployed,1867.09,3092.87,1225.78,2.0
P0148,Participant 148,participant148@outlook.com,True,Chiapas,24.0,Female,High school,Data Analytics,2025-06-23,2025-08-02,40.0,Completed,,,Yes,Yes,Remained employed,2841.49,2469.35,-372.1399999999999,3.0
P0149,Participant 149,participant149@example.org,True,Ciudad de México,17.0,Male,High school,Data Analytics,2025-03-26,2025-04-22,27.0,Dropped,82.3,51.6,No,No,Remained unemployed,4784.99,7966.72,3181.7300000000005,3.0
P0150,Participant 150,,False,Ciudad de México,35.0,Male,High school,Python Basics,2025-01-12,2025-04-11,89.0,Dropped,82.8,,Yes,Unknown,Unknown,6172.82,6755.07,582.25,5.0
P0151,Participant 151,participant151@yahoo.com,True,Ciudad de México,30.0,Female,Not specified,Employability Skills,2025-07-25,2025-11-12,110.0,Dropped,77.1,71.1,Unknown,Yes,Unknown,3865.58,1221.37,-2644.21,
P0152,Participant 152,,False,Puebla,42.0,Female,High school,Excel for Business,2025-07-27,2025-11-19,115.0,Unknown,99.0,79.5,No,Yes,Entered employment,6983.89,2891.19,-4092.7000000000003,
P0153,Participant 153,,False,Nuevo León,37.0,Female,Undergraduate,Python Basics,2025-05-16,2025-06-09,24.0,Completed,86.3,96.6,No,Unknown,Unknown,3330.0,,,4.0
P0154,Participant 154,participant154@yahoo.com,True,Yucatán,,Female,Not specified,Employability Skills,2025-02-14,2025-05-05,80.0,Completed,74.0,71.5,No,No,Remained unemployed,10773.61,13385.89,2612.279999999999,
P0155,Participant 155,participant155@example.org,True,Ciudad de México,23.0,Not specified,Graduate,Python Basics,2025-08-19,2025-10-30,72.0,In progress,48.9,68.8,Yes,Unknown,Unknown,7090.73,,,
P0156,Participant 156,participant156@example.org,True,Estado de México,,Not specified,High school,Excel for Business,2025-05-28,2025-07-18,51.0,Completed,70.7,65.4,Unknown,Unknown,Unknown,5158.04,8319.74,3161.7,1.0
P0157,Participant 157,,False,Puebla,17.0,Female,High school,Excel for Business,2025-04-03,2025-05-18,45.0,Completed,59.7,84.7,Unknown,No,Unknown,6568.64,6032.91,-535.7300000000005,4.0
P0158,Participant 158,participant158@example.org,True,Jalisco,29.0,Not specified,Not specified,Python Basics,2025-07-15,2025-11-11,119.0,Completed,40.7,76.9,No,Yes,Entered employment,5076.38,6545.66,1469.2799999999997,4.0
P0159,Participant 159,participant159@gmail.com,True,Puebla,27.0,Not specified,Undergraduate,Data Analytics,2025-04-11,2025-06-02,52.0,Dropped,74.9,82.9,Yes,Unknown,Unknown,4112.82,3796.5,-316.3199999999997,2.0
P0160,Participant 160,participant160@example.org,True,Puebla,26.0,Male,Graduate,Data Analytics,2025-08-28,2025-10-04,37.0,Dropped,74.7,61.1,Yes,Yes,Remained employed,0.0,1145.69,1145.69,5.0
P0161,Participant 161,participant161@gmail.com,True,Nuevo León,22.0,Female,Undergraduate,Data Analytics,2025-05-17,2025-09-01,107.0,Unknown,83.9,72.0,No,Unknown,Unknown,9042.61,,,1.0
P0162,Participant 162,participant162@outlook.com,True,Yucatán,27.0,Female,Secondary,Employability Skills,2025-02-22,2025-04-26,63.0,In progress,80.5,77.9,Yes,No,Lost employment,5783.67,6424.31,640.6400000000003,2.0
P0163,Participant 163,participant163@outlook.com,True,Ciudad de México,,Not specified,Undergraduate,Python Basics,2025-07-28,2025-11-16,111.0,In progress,79.5,89.9,Yes,Yes,Remained employed,4811.22,8552.6,3741.38,
P0164,Participant 164,,False,Ciudad de México,20.0,Female,Undergraduate,Excel for Business,2025-01-16,2025-04-25,99.0,Completed,73.7,,Yes,Yes,Remained employed,5754.64,9742.88,3988.239999999999,5.0
P0165,Participant 165,participant165@yahoo.com,True,Ciudad de México,25.0,Female,Secondary,Excel for Business,2025-08-06,2025-08-29,23.0,Completed,82.4,62.8,Yes,Yes,Remained employed,3428.76,4442.9,1014.1399999999994,3.0
P0166,Participant 166,participant166@outlook.com,True,Chiapas,,Male,Secondary,Excel for Business,2025-02-14,2025-05-27,102.0,Dropped,87.7,82.6,Yes,No,Lost employment,4562.01,5190.12,628.1099999999997,1.0
P0167,Participant 167,participant167@example.org,True,Oaxaca,33.0,Female,High school,Digital Marketing,2025-02-21,2025-05-26,94.0,Unknown,59.7,79.2,Unknown,Unknown,Unknown,6665.9,,,
P0168,Participant 168,,False,Oaxaca,24.0,Female,Not specified,Python Basics,2025-01-03,2025-04-26,113.0,In progress,86.2,80.2,No,No,Remained unemployed,6204.34,10227.35,4023.01,5.0
P0169,Participant 169,participant169@gmail.com,True,Yucatán,18.0,Not specified,Undergraduate,Digital Marketing,2025-03-17,2025-04-16,30.0,Completed,85.3,,No,Yes,Entered employment,2753.24,-709.74,-3462.9799999999996,1.0
P0170,Participant 170,,False,Nuevo León,23.0,Not specified,High school,Digital Marketing,2025-04-04,2025-06-27,84.0,Unknown,87.6,91.1,Yes,Yes,Remained employed,8124.96,8752.95,627.9900000000007,1.0
P0171,Participant 171,participant171@gmail.com,True,Jalisco,27.0,Male,High school,Excel for Business,2025-06-04,2025-09-24,112.0,Dropped,85.5,75.4,Unknown,Yes,Unknown,8674.2,9982.78,1308.58,5.0
P0172,Participant 172,,False,Oaxaca,,Male,Not specified,Python Basics,2025-04-23,2025-08-11,110.0,Dropped,91.4,,Yes,Unknown,Unknown,2139.71,453.84,-1685.8700000000001,4.0
P0173,Participant 173,participant173@example.org,True,Ciudad de México,31.0,Female,Undergraduate,Digital Marketing,2025-05-19,2025-08-02,75.0,Unknown,43.5,87.8,Yes,Yes,Remained employed,7143.81,9138.37,1994.5600000000004,2.0
P0174,Participant 174,participant174@example.org,True,Jalisco,18.0,Not specified,Not specified,Digital Marketing,2025-08-09,2025-09-05,27.0,Completed,92.0,78.5,Yes,No,Lost employment,5181.13,9101.21,3920.079999999999,3.0
P0175,Participant 175,participant175@yahoo.com,True,Yucatán,,Female,Graduate,Excel for Business,2025-06-30,2025-09-19,81.0,Unknown,81.6,96.8,No,No,Remained unemployed,2822.37,,,1.0
P0176,Participant 176,,False,Ciudad de México,25.0,Not specified,High school,Employability Skills,2025-06-18,2025-09-14,88.0,Completed,62.4,,No,Yes,Entered employment,4015.51,3477.15,-538.3600000000001,5.0
P0177,Participant 177,participant177@gmail.com,True,Chiapas,20.0,Not specified,Graduate,Data Analytics,2025-02-01,2025-04-20,78.0,Unknown,91.2,65.5,No,Yes,Entered employment,4339.45,4903.16,563.71,3.0
P0178,Participant 178,participant178@example.org,True,Ciudad de México,17.0,Female,Undergraduate,Employability Skills,2025-03-22,2025-07-07,107.0,Completed,37.7,78.5,Yes,Yes,Remained employed,9141.77,10903.04,1761.2700000000004,5.0
P0179,Participant 179,participant179@outlook.com,True,Ciudad de México,22.0,Not specified,Undergraduate,Data Analytics,2025-02-18,2025-05-24,95.0,Dropped,82.0,79.5,Yes,Yes,Remained employed,5330.31,7685.58,2355.2699999999995,
P0180,Participant 180,participant180@yahoo.com,True,Ciudad de México,17.0,Female,Undergraduate,Digital Marketing,2025-11-06,,,Completed,,41.4,Yes,Yes,Remained employed,4502.12,6241.85,1739.7300000000005,5.0
P0181,Participant 181,participant181@yahoo.com,True,Ciudad de México,25.0,Male,Undergraduate,Employability Skills,2025-06-21,2025-08-02,42.0,Dropped,,79.8,Unknown,Unknown,Unknown,629.13,2586.11,1956.98,3.0
P0182,Participant 182,,False,Ciudad de México,22.0,Not specified,High school,Excel for Business,2025-02-22,2025-05-27,94.0,Completed,85.7,79.8,Yes,No,Lost employment,3843.04,7200.0,3356.96,1.0
P0183,Participant 183,participant183@outlook.com,True,Nuevo León,30.0,Not specified,Not specified,Employability Skills,2025-08-03,2025-09-05,33.0,Completed,74.7,73.9,No,Yes,Entered employment,4916.58,6413.12,1496.54,3.0
P0184,Participant 184,participant184@yahoo.com,True,Chiapas,23.0,Female,Secondary,Excel for Business,2025-07-31,2025-09-29,60.0,Completed,85.6,,No,Yes,Entered employment,6470.43,7740.14,1269.71,
P0185,Participant 185,,False,Ciudad de México,26.0,Female,Undergraduate,Digital Marketing,2025-08-15,,,Unknown,,,Unknown,Unknown,Unknown,6723.14,7713.21,990.0699999999997,4.0
P0186,Participant 186,,False,Puebla,19.0,Not specified,Undergraduate,Excel for Business,2025-01-10,2025-03-23,72.0,Completed,99.4,94.2,No,Yes,Entered employment,8044.15,9732.84,1688.6900000000005,3.0
P0187,Participant 187,participant187@example.org,True,Ciudad de México,26.0,Female,Not specified,Python Basics,2025-04-16,2025-06-06,51.0,Dropped,54.1,79.2,Yes,Yes,Remained employed,5391.31,7621.01,2229.7,1.0
P0188,Participant 188,participant188@gmail.com,True,Ciudad de México,,Male,Undergraduate,Excel for Business,2025-04-02,2025-05-08,36.0,Completed,62.4,80.3,No,Unknown,Unknown,4408.09,,,
P0189,Participant 189,participant189@yahoo.com,True,Estado de México,27.0,Male,High school,Data Analytics,2025-05-07,2025-06-14,38.0,Unknown,57.7,70.3,Yes,Yes,Remained employed,806.39,-1087.36,-1893.75,
P0190,Participant 190,participant190@example.org,True,Ciudad de México,31.0,Male,Not specified,Python Basics,2025-07-07,2025-08-23,47.0,In progress,47.8,83.1,No,No,Remained unemployed,2059.89,2648.61,588.7200000000003,5.0
P0191,Participant 191,participant191@yahoo.com,True,Ciudad de México,21.0,Not specified,Secondary,Digital Marketing,2025-07-05,2025-09-19,76.0,Completed,,82.0,Yes,Yes,Remained employed,8680.15,9166.57,486.4200000000001,4.0
P0192,Participant 192,participant192@yahoo.com,True,Chiapas,32.0,Not specified,Not specified,Digital Marketing,2025-07-18,2025-10-12,86.0,Dropped,,69.9,No,No,Remained unemployed,5606.21,4999.21,-607.0,1.0
P0193,Participant 193,,False,Ciudad de México,17.0,Male,High school,Python Basics,2025-02-05,2025-04-14,68.0,Unknown,57.9,56.3,No,Unknown,Unknown,6832.08,6829.55,-2.5299999999997453,
P0194,Participant 194,participant194@yahoo.com,True,Ciudad de México,30.0,Not specified,High school,Excel for Business,2025-02-26,2025-06-11,105.0,Unknown,97.2,56.3,No,Yes,Entered employment,7804.5,9873.34,2068.84,5.0
P0195,Participant 195,participant195@example.org,True,Oaxaca,19.0,Female,Not specified,Employability Skills,2025-06-09,2025-08-09,61.0,Dropped,,89.4,No,No,Remained unemployed,6526.83,8400.53,1873.7000000000007,2.0
P0196,Participant 196,participant196@yahoo.com,True,Ciudad de México,,Female,High school,Python Basics,2025-04-17,2025-05-15,28.0,In progress,73.4,77.9,Unknown,No,Unknown,3333.19,2326.81,-1006.3800000000001,
P0197,Participant 197,participant197@yahoo.com,True,Jalisco,30.0,Male,Undergraduate,Data Analytics,2025-05-08,2025-08-23,107.0,Completed,97.0,94.2,Unknown,Unknown,Unknown,4896.92,6550.23,1653.3099999999995,3.0
P0198,Participant 198,participant198@outlook.com,True,Chiapas,18.0,Male,High school,Excel for Business,2025-06-09,2025-07-24,45.0,Unknown,78.7,,Yes,Yes,Remained employed,5385.75,5208.76,-176.98999999999978,4.0
P0199,Participant 199,,False,Chiapas,31.0,Not specified,Graduate,Employability Skills,2025-06-30,2025-09-03,65.0,Completed,80.4,57.0,No,Yes,Entered employment,5032.83,6833.54,1800.71,4.0
P0200,Participant 200,participant200@gmail.com,True,Puebla,22.0,Not specified,Undergraduate,Employability Skills,2025-07-11,2025-10-31,112.0,Completed,93.3,55.0,Yes,Yes,Remained employed,5015.13,5021.18,6.050000000000182,3.0
P0201,Participant 201,participant201@yahoo.com,True,Puebla,,Not specified,Secondary,Data Analytics,2025-02-03,2025-06-08,125.0,Dropped,51.5,,Yes,Unknown,Unknown,5000.0,5616.76,616.7600000000002,
P0202,Participant 202,participant202@yahoo.com,True,Ciudad de México,36.0,Female,Not specified,Digital Marketing,2025-05-07,2025-08-26,111.0,Completed,39.0,85.7,Yes,Yes,Remained employed,7171.62,6719.2,-452.4200000000001,4.0
P0203,Participant 203,participant203@outlook.com,True,Jalisco,,Not specified,High school,Data Analytics,2025-08-25,2025-11-11,78.0,Unknown,,,Yes,Yes,Remained employed,6140.64,5891.54,-249.10000000000036,1.0
P0204,Participant 204,participant204@yahoo.com,True,Ciudad de México,33.0,Not specified,High school,Data Analytics,2025-07-14,2025-09-09,57.0,In progress,,99.1,Unknown,No,Unknown,5295.82,7473.9,2178.08,
P0205,Participant 205,participant205@example.org,True,Puebla,23.0,Not specified,High school,Employability Skills,2025-05-16,2025-06-05,20.0,Dropped,,89.4,Unknown,No,Unknown,6820.98,9219.03,2398.050000000001,3.0
P0206,Participant 206,participant206@example.org,True,Nuevo León,28.0,Male,Secondary,Employability Skills,2025-03-18,2025-04-24,37.0,Completed,86.0,95.3,Yes,Unknown,Unknown,5669.98,4293.78,-1376.1999999999998,3.0
P0207,Participant 207,participant207@example.org,True,Estado de México,28.0,Female,High school,Employability Skills,2025-04-02,2025-05-20,48.0,Completed,89.0,,Yes,Yes,Remained employed,4889.8,6690.75,1800.9499999999998,5.0
P0208,Participant 208,participant208@outlook.com,True,Jalisco,32.0,Female,Not specified,Excel for Business,2025-03-15,2025-06-03,80.0,Completed,97.3,,No,Yes,Entered employment,5862.22,7105.25,1243.0299999999997,3.0
P0209,Participant 209,participant209@example.org,True,Yucatán,26.0,Male,High school,Python Basics,2025-08-03,2025-11-05,94.0,Completed,40.2,89.5,Yes,Unknown,Unknown,7713.08,12430.56,4717.48,
P0210,Participant 210,participant210@example.org,True,Oaxaca,20.0,Male,Secondary,Employability Skills,2025-04-03,2025-07-06,94.0,Dropped,54.4,92.4,No,Yes,Entered employment,6907.2,6523.53,-383.6700000000001,2.0
P0211,Participant 211,participant211@outlook.com,True,Jalisco,33.0,Not specified,Undergraduate,Excel for Business,2025-01-26,2025-04-30,94.0,Completed,93.4,82.5,No,Yes,Entered employment,6895.35,8529.73,1634.3799999999992,2.0
P0212,Participant 212,participant212@yahoo.com,True,Ciudad de México,,Not specified,Secondary,Employability Skills,2025-06-25,2025-08-10,46.0,Completed,63.5,80.2,Unknown,No,Unknown,2673.46,4994.34,2320.88,5.0
P0213,Participant 213,participant213@example.org,True,Ciudad de México,25.0,Male,High school,Python Basics,2025-03-02,2025-03-14,12.0,Completed,92.8,75.8,Yes,Yes,Remained employed,5008.83,5838.28,829.4499999999998,
P0214,Participant 214,participant214@example.org,True,Ciudad de México,19.0,Not specified,Graduate,Excel for Business,2025-02-25,2025-05-15,79.0,Unknown,84.0,82.2,No,Unknown,Unknown,4471.53,4800.24,328.71000000000004,5.0
P0215,Participant 215,participant215@yahoo.com,True,Puebla,29.0,Male,Undergraduate,Employability Skills,2025-08-22,2025-11-06,76.0,Unknown,,73.5,No,Unknown,Unknown,8020.0,9429.59,1409.5900000000001,
P0216,Participant 216,participant216@yahoo.com,True,Yucatán,23.0,Not specified,Not specified,Employability Skills,2025-08-01,2025-11-10,101.0,Unknown,89.3,57.5,No,Unknown,Unknown,9292.03,,,5.0
P0217,Participant 217,,False,Nuevo León,30.0,Male,Undergraduate,Python Basics,2025-01-14,2025-05-08,114.0,Completed,,86.5,Unknown,No,Unknown,3728.04,5005.32,1277.2799999999997,
P0218,Participant 218,participant218@yahoo.com,True,Ciudad de México,32.0,Not specified,Graduate,Python Basics,2025-06-15,2025-09-14,91.0,Completed,65.9,77.2,Yes,No,Lost employment,0.0,742.12,742.12,
P0219,Participant 219,participant219@gmail.com,True,Estado de México,22.0,Female,High school,Employability Skills,2025-03-22,2025-06-03,73.0,Unknown,91.3,,No,Yes,Entered employment,11167.95,14796.74,3628.789999999999,5.0
P0220,Participant 220,participant220@outlook.com,True,Nuevo León,33.0,Female,Undergraduate,Digital Marketing,2025-01-30,2025-03-03,32.0,Dropped,80.6,88.9,Yes,Unknown,Unknown,7661.32,11595.32,3934.0,1.0
P0221,Participant 221,participant221@example.org,True,Ciudad de México,20.0,Not specified,Graduate,Excel for Business,2025-01-01,2025-03-05,63.0,Unknown,58.0,82.3,Unknown,Unknown,Unknown,7716.83,9018.24,1301.4099999999999,1.0
P0222,Participant 222,participant222@yahoo.com,True,Estado de México,20.0,Female,Graduate,Data Analytics,2025-06-20,2025-10-12,114.0,Dropped,67.7,86.0,No,No,Remained unemployed,8553.09,8876.21,323.119999999999,
P0223,Participant 223,,False,Ciudad de México,28.0,Female,Undergraduate,Digital Marketing,2025-05-27,2025-08-10,75.0,Completed,80.0,,Yes,Unknown,Unknown,5844.61,7954.34,2109.7300000000005,
P0224,Participant 224,participant224@example.org,True,Puebla,25.0,Female,High school,Data Analytics,2025-07-05,2025-10-31,118.0,Dropped,62.0,93.5,No,No,Remained unemployed,7978.15,11047.23,3069.08,2.0
P0225,Participant 225,participant225@outlook.com,True,Oaxaca,25.0,Not specified,Not specified,Data Analytics,2025-03-08,2025-04-20,43.0,Dropped,78.5,76.3,Unknown,No,Unknown,4423.53,4039.13,-384.39999999999964,2.0
P0226,Participant 226,participant226@yahoo.com,True,Ciudad de México,,Female,Undergraduate,Digital Marketing,2025-03-25,2025-04-25,31.0,Unknown,93.6,84.0,Unknown,Yes,Unknown,3127.71,7472.96,4345.25,1.0
P0227,Participant 227,participant227@gmail.com,True,Puebla,19.0,Not specified,Secondary,Python Basics,2025-06-29,2025-10-05,98.0,In progress,67.0,96.7,No,Yes,Entered employment,4852.86,2775.77,-2077.0899999999997,
P0228,Participant 228,participant228@outlook.com,True,Estado de México,25.0,Not specified,Secondary,Python Basics,2025-05-18,,,Dropped,73.0,90.6,No,Yes,Entered employment,6160.05,9650.29,3490.2400000000007,2.0
P0229,Participant 229,participant229@example.org,True,Ciudad de México,22.0,Female,Graduate,Data Analytics,2025-04-18,2025-07-22,95.0,Completed,81.0,84.1,Yes,Unknown,Unknown,3409.28,5863.4,2454.1199999999994,4.0
P0230,Participant 230,participant230@example.org,True,Jalisco,29.0,Female,Secondary,Employability Skills,2025-05-09,2025-07-22,74.0,Completed,69.7,,No,Yes,Entered employment,4063.63,7200.0,3136.37,3.0
P0231,Participant 231,participant231@outlook.com,True,Yucatán,26.0,Female,Graduate,Excel for Business,2025-06-12,2025-07-15,33.0,Completed,63.6,76.1,No,No,Remained unemployed,6550.29,8259.31,1709.0199999999995,3.0
P0232,Participant 232,,False,Yucatán,22.0,Not specified,Not specified,Excel for Business,2025-01-20,2025-02-14,25.0,Completed,44.3,77.3,No,No,Remained unemployed,,11063.09,,1.0
P0233,Participant 233,participant233@example.org,True,Ciudad de México,34.0,Female,Undergraduate,Data Analytics,2025-06-25,2025-08-27,63.0,In progress,87.0,85.2,No,Yes,Entered employment,3232.48,4042.87,810.3899999999999,1.0
P0234,Participant 234,participant234@yahoo.com,True,Estado de México,20.0,Not specified,Not specified,Python Basics,2025-08-08,2025-09-12,35.0,Unknown,72.8,72.6,No,Yes,Entered employment,5086.18,5063.29,-22.890000000000327,3.0
P0235,Participant 235,participant235@gmail.com,True,Yucatán,24.0,Male,Undergraduate,Employability Skills,2025-05-26,2025-08-22,88.0,Completed,96.3,86.2,Yes,Unknown,Unknown,4860.17,8526.91,3666.74,
P0236,Participant 236,,False,Estado de México,32.0,Female,Graduate,Digital Marketing,2025-04-30,2025-07-21,82.0,Unknown,82.6,77.5,Unknown,Unknown,Unknown,1195.07,3047.24,1852.1699999999998,
P0237,Participant 237,participant237@example.org,True,Jalisco,23.0,Male,Not specified,Digital Marketing,2025-03-01,2025-06-04,95.0,Dropped,85.6,94.5,No,No,Remained unemployed,6958.86,,,
P0238,Participant 238,participant238@yahoo.com,True,Ciudad de México,29.0,Not specified,High school,Digital Marketing,2025-01-25,2025-04-28,93.0,Completed,86.0,68.2,Unknown,Unknown,Unknown,2595.54,3285.89,690.3499999999999,5.0
P0239,Participant 239,participant239@yahoo.com,True,Ciudad de México,30.0,Female,Graduate,Employability Skills,2025-01-06,2025-03-23,76.0,Dropped,,87.9,No,No,Remained unemployed,,2368.09,,4.0
P0240,Participant 240,participant240@example.org,True,Ciudad de México,31.0,Not specified,Graduate,Digital Marketing,2025-08-20,2025-09-20,31.0,Completed,84.2,81.1,Yes,Unknown,Unknown,6683.68,7401.93,718.25,
P0241,Participant 241,participant241@yahoo.com,True,Chiapas,17.0,Not specified,Undergraduate,Data Analytics,2025-05-23,2025-09-19,119.0,Completed,62.6,64.7,No,No,Remained unemployed,7643.33,10358.04,2714.710000000001,
P0242,Participant 242,participant242@example.org,True,Jalisco,26.0,Not specified,High school,Data Analytics,2025-01-30,2025-04-04,64.0,Completed,87.5,78.9,Unknown,No,Unknown,3025.97,3786.94,760.9700000000003,
P0243,Participant 243,,False,Ciudad de México,,Female,Undergraduate,Employability Skills,2025-03-16,2025-11-05,234.0,Dropped,58.3,92.3,No,Yes,Entered employment,,5834.0,,4.0
P0244,Participant 244,participant244@gmail.com,True,Chiapas,,Male,Not specified,Employability Skills,2025-02-01,2025-04-27,85.0,Dropped,82.4,46.6,Unknown,Unknown,Unknown,5608.82,9703.77,4094.9500000000007,4.0
P0245,Participant 245,participant245@outlook.com,True,Oaxaca,24.0,Male,Not specified,Employability Skills,2025-07-22,2025-11-10,111.0,Dropped,,62.0,Yes,No,Lost employment,4170.85,6370.91,2200.0599999999995,2.0
P0246,Participant 246,participant246@gmail.com,True,Ciudad de México,38.0,Not specified,Not specified,Python Basics,2025-02-11,2025-04-11,59.0,Completed,83.1,,No,Yes,Entered employment,5000.0,3565.17,-1434.83,3.0
P0247,Participant 247,participant247@example.org,True,Estado de México,28.0,Female,Not specified,Excel for Business,2025-01-10,2025-05-05,115.0,Completed,55.3,74.1,Unknown,No,Unknown,6355.88,,,2.0
P0248,Participant 248,participant248@gmail.com,True,Puebla,34.0,Male,Not specified,Data Analytics,2025-04-13,2025-05-26,43.0,Dropped,99.5,93.0,Yes,No,Lost employment,8639.93,9085.44,445.5100000000002,
P0249,Participant 249,,False,Ciudad de México,25.0,Not specified,Undergraduate,Employability Skills,2025-05-31,2025-09-23,115.0,Completed,72.1,92.6,Unknown,Yes,Unknown,7254.69,10027.28,2772.590000000001,
P0250,Participant 250,participant250@yahoo.com,True,Oaxaca,21.0,Male,High school,Excel for Business,2025-02-13,2025-06-10,117.0,Completed,,69.4,Yes,Yes,Remained employed,6005.72,6771.56,765.8400000000001,2.0
